(Tanggal_Peminjaman,Tanggal_Pengembalian,Status_Peminjaman),
('2024-05-16','2024-05-24','Pending'),
('2024-04-17','2024-04-20','Returned'),
('2024-04-11','2024-05-17','Rented'),
('2024-05-26','2024-05-28','Pending'),
('2024-04-15','2024-04-17','Returned'),
('2024-04-13','2024-04-28','Returned'),
('2024-04-10','2024-04-20','Returned'),
('2024-05-27','2024-05-27','Pending'),
('2024-04-16','2024-04-17','Returned'),
('2024-06-02','2024-06-02','Pending'),
('2024-04-11','2024-04-24','Returned'),
('2024-04-26','2024-04-29','Returned'),
('2024-05-08','2024-05-19','Pending'),
('2024-05-24','2024-05-26','Pending'),
('2024-04-19','2024-04-24','Returned'),
('2024-04-18','2024-04-30','Returned'),
('2024-04-28','2024-05-02','Returned'),
('2024-05-23','2024-05-30','Pending'),
('2024-05-07','2024-05-13','Pending'),
('2024-04-11','2024-04-25','Returned'),
('2024-04-14','2024-05-18','Rented'),
('2024-04-04','2024-04-21','Returned'),
('2024-04-15','2024-04-23','Returned'),
('2024-04-23','2024-05-26','Rented'),
('2024-05-02','2024-05-16','Rented'),
('2024-05-25','2024-05-27','Pending'),
('2024-04-16','2024-04-25','Returned'),
('2024-05-18','2024-05-18','Pending'),
('2024-04-06','2024-04-12','Returned'),
('2024-06-02','2024-06-02','Pending'),
('2024-04-16','2024-04-23','Returned'),
('2024-05-25','2024-05-29','Pending'),
('2024-04-04','2024-05-20','Rented'),
('2024-05-01','2024-05-29','Rented'),
('2024-04-19','2024-04-22','Returned'),
('2024-04-24','2024-05-15','Rented'),
('2024-04-06','2024-04-22','Returned'),
('2024-04-27','2024-04-27','Returned'),
('2024-05-02','2024-05-02','Returned'),
('2024-04-06','2024-04-29','Returned'),
('2024-04-10','2024-04-26','Returned'),
('2024-04-28','2024-04-29','Returned'),
('2024-04-23','2024-04-24','Returned'),
('2024-05-01','2024-06-02','Rented'),
('2024-05-11','2024-05-27','Pending'),
('2024-05-12','2024-05-12','Pending'),
('2024-04-08','2024-05-24','Rented'),
('2024-04-30','2024-06-02','Rented'),
('2024-05-10','2024-05-23','Pending'),
('2024-04-18','2024-05-10','Rented'),
('2024-04-24','2024-04-26','Returned'),
('2024-04-09','2024-05-24','Rented'),
('2024-05-21','2024-06-01','Pending'),
('2024-04-20','2024-04-28','Returned'),
('2024-04-06','2024-05-22','Rented'),
('2024-05-12','2024-05-21','Pending'),
('2024-04-27','2024-05-02','Returned'),
('2024-04-16','2024-05-31','Rented'),
('2024-04-09','2024-04-14','Returned'),
('2024-04-18','2024-05-27','Rented'),
('2024-05-22','2024-05-25','Pending'),
('2024-04-26','2024-04-28','Returned'),
('2024-04-21','2024-05-24','Rented'),
('2024-04-12','2024-05-18','Rented'),
('2024-04-12','2024-05-19','Rented'),
('2024-05-14','2024-05-14','Pending'),
('2024-04-14','2024-05-01','Returned'),
('2024-05-26','2024-05-30','Pending'),
('2024-04-14','2024-04-21','Returned'),
('2024-04-06','2024-05-30','Rented'),
('2024-05-26','2024-06-02','Pending'),
('2024-04-13','2024-05-16','Rented'),
('2024-04-29','2024-05-01','Returned'),
('2024-05-01','2024-05-06','Rented'),
('2024-04-07','2024-04-08','Returned'),
('2024-04-19','2024-04-30','Returned'),
('2024-04-29','2024-04-29','Returned'),
('2024-04-14','2024-04-27','Returned'),
('2024-04-08','2024-04-12','Returned'),
('2024-04-07','2024-05-14','Rented'),
('2024-05-02','2024-05-02','Returned'),
('2024-04-23','2024-04-29','Returned'),
('2024-06-02','2024-06-02','Pending'),
('2024-04-16','2024-04-21','Returned'),
('2024-04-23','2024-04-26','Returned'),
('2024-04-05','2024-04-27','Returned'),
('2024-04-29','2024-05-20','Rented'),
('2024-04-27','2024-05-07','Rented'),
('2024-05-05','2024-05-29','Pending'),
('2024-05-06','2024-05-18','Pending'),
('2024-04-16','2024-05-29','Rented'),
('2024-05-25','2024-05-28','Pending'),
('2024-05-31','2024-06-01','Pending'),
('2024-05-02','2024-05-02','Returned'),
('2024-05-29','2024-06-01','Pending'),
('2024-05-06','2024-05-16','Pending'),
('2024-04-10','2024-05-31','Rented'),
('2024-04-15','2024-04-28','Returned'),
('2024-04-27','2024-06-01','Rented'),
('2024-04-29','2024-05-02','Returned'),
