(ID_Peminjaman,Tanggal_Peminjaman,Tanggal_Pengembalian),
(1,'2024-05-16','2024-05-24'),
(2,'2024-04-17','2024-04-20'),
(3,'2024-04-11','2024-05-17'),
(4,'2024-05-26','2024-05-28'),
(5,'2024-04-15','2024-04-17'),
(6,'2024-04-13','2024-04-28'),
(7,'2024-04-10','2024-04-20'),
(8,'2024-05-27','2024-05-27'),
(9,'2024-04-16','2024-04-17'),
(10,'2024-06-02','2024-06-02'),
(11,'2024-04-11','2024-04-24'),
(12,'2024-04-26','2024-04-29'),
(13,'2024-05-08','2024-05-19'),
(14,'2024-05-24','2024-05-26'),
(15,'2024-04-19','2024-04-24'),
(16,'2024-04-18','2024-04-30'),
(17,'2024-04-28','2024-05-02'),
(18,'2024-05-23','2024-05-30'),
(19,'2024-05-07','2024-05-13'),
(20,'2024-04-11','2024-04-25'),
(21,'2024-04-14','2024-05-18'),
(22,'2024-04-04','2024-04-21'),
(23,'2024-04-15','2024-04-23'),
(24,'2024-04-23','2024-05-26'),
(25,'2024-05-02','2024-05-16'),
(26,'2024-05-25','2024-05-27'),
(27,'2024-04-16','2024-04-25'),
(28,'2024-05-18','2024-05-18'),
(29,'2024-04-06','2024-04-12'),
(30,'2024-06-02','2024-06-02'),
(31,'2024-04-16','2024-04-23'),
(32,'2024-05-25','2024-05-29'),
(33,'2024-04-04','2024-05-20'),
(34,'2024-05-01','2024-05-29'),
(35,'2024-04-19','2024-04-22'),
(36,'2024-04-24','2024-05-15'),
(37,'2024-04-06','2024-04-22'),
(38,'2024-04-27','2024-04-27'),
(39,'2024-05-02','2024-05-02'),
(40,'2024-04-06','2024-04-29'),
(41,'2024-04-10','2024-04-26'),
(42,'2024-04-28','2024-04-29'),
(43,'2024-04-23','2024-04-24'),
(44,'2024-05-01','2024-06-02'),
(45,'2024-05-11','2024-05-27'),
(46,'2024-05-12','2024-05-12'),
(47,'2024-04-08','2024-05-24'),
(48,'2024-04-30','2024-06-02'),
(49,'2024-05-10','2024-05-23'),
(50,'2024-04-18','2024-05-10'),
(51,'2024-04-24','2024-04-26'),
(52,'2024-04-09','2024-05-24'),
(53,'2024-05-21','2024-06-01'),
(54,'2024-04-20','2024-04-28'),
(55,'2024-04-06','2024-05-22'),
(56,'2024-05-12','2024-05-21'),
(57,'2024-04-27','2024-05-02'),
(58,'2024-04-16','2024-05-31'),
(59,'2024-04-09','2024-04-14'),
(60,'2024-04-18','2024-05-27'),
(61,'2024-05-22','2024-05-25'),
(62,'2024-04-26','2024-04-28'),
(63,'2024-04-21','2024-05-24'),
(64,'2024-04-12','2024-05-18'),
(65,'2024-04-12','2024-05-19'),
(66,'2024-05-14','2024-05-14'),
(67,'2024-04-14','2024-05-01'),
(68,'2024-05-26','2024-05-30'),
(69,'2024-04-14','2024-04-21'),
(70,'2024-04-06','2024-05-30'),
(71,'2024-05-26','2024-06-02'),
(72,'2024-04-13','2024-05-16'),
(73,'2024-04-29','2024-05-01'),
(74,'2024-05-01','2024-05-06'),
(75,'2024-04-07','2024-04-08'),
(76,'2024-04-19','2024-04-30'),
(77,'2024-04-29','2024-04-29'),
(78,'2024-04-14','2024-04-27'),
(79,'2024-04-08','2024-04-12'),
(80,'2024-04-07','2024-05-14'),
(81,'2024-05-02','2024-05-02'),
(82,'2024-04-23','2024-04-29'),
(83,'2024-06-02','2024-06-02'),
(84,'2024-04-16','2024-04-21'),
(85,'2024-04-23','2024-04-26'),
(86,'2024-04-05','2024-04-27'),
(87,'2024-04-29','2024-05-20'),
(88,'2024-04-27','2024-05-07'),
(89,'2024-05-05','2024-05-29'),
(90,'2024-05-06','2024-05-18'),
(91,'2024-04-16','2024-05-29'),
(92,'2024-05-25','2024-05-28'),
(93,'2024-05-31','2024-06-01'),
(94,'2024-05-02','2024-05-02'),
(95,'2024-05-29','2024-06-01'),
(96,'2024-05-06','2024-05-16'),
(97,'2024-04-10','2024-05-31'),
(98,'2024-04-15','2024-04-28'),
(99,'2024-04-27','2024-06-01'),
(100,'2024-04-29','2024-05-02'),
