(Merek,Plat,Tipe_Mesin),
('U 950 IO','Porsche','Non-Electric'),
('L 244 EO','Smart','Non-Electric'),
('MA 0275 JC','Land Rover','Non-Electric'),
('E 293 IP','Land Rover','Electric'),
('N 1733 ECI','Jaguar','Non-Electric'),
('DB 8042 OKD','Jaguar','Non-Electric'),
('M 9130 JRK','Jaguar','Non-Electric'),
('O 4983 OVA','Renault','Non-Electric'),
('OD 354 VSN','Mini','Electric'),
('FH 6298 IC','Lotus','Non-Electric'),
('R 8794 KMS','Porsche','Non-Electric'),
('U 0201 FNP','Aston Martin','Electric'),
('PK 6983 IRO','Bentley','Electric'),
('I 9232 DL','Dacia','Electric'),
('C 770 QU','Seat','Non-Electric'),
('A 8049 WJ','Renault','Non-Electric'),
('J 138 UKP','Mini','Electric'),
('X 2625 PK','Jaguar','Non-Electric'),
('D 403 LP','Maserati','Non-Electric'),
('Q 674 OM','Porsche','Non-Electric'),
('BG 9894 WFV','Dacia','Electric'),
('B 4042 KL','Hyundai','Electric'),
('UP 4010 VG','Jaguar','Electric'),
('HA 7113 GQ','Maserati','Electric'),
('ME 1921 MFX','Bentley','Electric'),
('JH 4481 RV','Mercedes-Benz','Non-Electric'),
('KS 5193 QNX','Rolls-Royce','Non-Electric'),
('O 7844 DXN','Dacia','Electric'),
('MO 911 QE','Hyundai','Non-Electric'),
('FS 5908 NQH','Subaru','Electric'),
('YF 7828 BFI','McLaren','Electric'),
('A 6121 EAL','Rolls-Royce','Non-Electric'),
('L 435 XIO','Rolls-Royce','Non-Electric'),
('RS 7701 HJG','Bugatti','Electric'),
('UM 024 AYR','Mitsubishi','Non-Electric'),
('JE 380 BH','Jaguar','Electric'),
('K 972 MND','Rolls-Royce','Non-Electric'),
('F 601 WQ','Suzuki','Non-Electric'),
('XH 939 GY','Lamborghini','Non-Electric'),
('A 417 ND','Alfa Romeo','Electric'),
('BQ 634 KFM','Land Rover','Electric'),
('J 790 NC','Bentley','Non-Electric'),
('XR 614 JP','Citroen','Non-Electric'),
('O 723 WP','Lotus','Electric'),
('T 596 XF','Mini','Electric'),
('JH 537 DHW','Renault','Electric'),
('W 8306 UB','Aston Martin','Non-Electric'),
('HY 918 ZWY','Dacia','Electric'),
('VQ 944 ZZO','Citroen','Non-Electric'),
('QU 728 SEY','Rolls-Royce','Electric'),
('GU 9957 HOB','Opel','Electric'),
('QD 338 ETJ','Lamborghini','Non-Electric'),
('SM 2272 ENY','Toyota','Non-Electric'),
('BD 445 YA','Porsche','Electric'),
('X 6014 UAF','Peugeot','Electric'),
('LQ 4584 BM','Ford','Non-Electric'),
('ND 897 CO','Honda','Non-Electric'),
('XG 806 GOM','Kawasaki','Non-Electric'),
('TM 7925 MYE','Jeep','Electric'),
('Z 051 VZ','Bentley','Electric'),
('VP 099 OVG','Dacia','Electric'),
('U 711 EXN','Bugatti','Non-Electric'),
('GX 9029 VB','Lamborghini','Electric'),
('A 962 XTQ','Bentley','Non-Electric'),
('Z 2866 CB','Ferrari','Electric'),
('OE 5176 YW','Alfa Romeo','Electric'),
('Y 4395 WMT','Bugatti','Electric'),
('ZW 531 BT','Lamborghini','Electric'),
('XN 619 EFN','Mini','Electric'),
('CQ 544 ATF','Renault','Non-Electric'),
('V 171 AJ','Volkswagen','Electric'),
('AR 656 GY','Smart','Non-Electric'),
('W 8990 AV','McLaren','Electric'),
('EP 099 JLD','Fiat','Electric'),
